,feats,imp
2,itemId,5725
0,pvId,5608
11,item_count,3556
1,suv,3278
39,itemId_city_nunique,2377
30,itemId_operator_nunique,2375
6,province,2021
8,category,1558
32,itemId_browserType_nunique,1544
24,pvId_category_nunique,1512
21,category_count,1159
18,province_count,1071
20,itemId_count,976
25,category_pvId_nunique,893
9,pvid_count,866
38,province_itemId_nunique,803
7,city,796
37,itemId_province_nunique,718
19,city_count,687
35,itemId_osType_nunique,680
10,pvid_item_nunique,676
28,suv_category_nunique,580
4,browserType,566
13,suv_count,529
40,city_itemId_nunique,497
26,suv_itemId_nunique,488
15,browserType_count,478
23,itemId_pvId_nunique,378
27,itemId_suv_nunique,326
12,pvId_count,271
29,category_suv_nunique,267
5,osType,253
17,osType_count,230
34,itemId_deviceType_nunique,222
22,pvId_itemId_nunique,213
3,operator,202
14,operator_count,200
33,browserType_itemId_nunique,155
31,operator_itemId_nunique,151
36,osType_itemId_nunique,86
16,deviceType_count,29
